organization_name,organization_abbr,organization_type,person_official_id,person_name,membership_type,start_date,end_date
Delegation for Northern Cooperation and for Relations with Switzerland and Norway and to the EU-Iceland Joint Parliamentary Committee and the European Economic Area Joint Parliamentary Committee,DEEA,Delegation,124891,Zdzisław KRASNODĘBSKI,Member,2019-07-02,
Committee on Constitutional Affairs,AFCO,Committee,124891,Zdzisław KRASNODĘBSKI,Member,2022-06-06,
Committee on Foreign Affairs,AFET,Committee,124891,Zdzisław KRASNODĘBSKI,Substitute,2019-07-02,2022-01-19
Subcommittee on Security and Defence,SEDE,Subcommittee,124891,Zdzisław KRASNODĘBSKI,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the People's Republic of China,D-CN,Delegation,124891,Zdzisław KRASNODĘBSKI,Substitute,2019-07-02,
Delegation for Relations with the Countries of South Asia,DSAS,Delegation,124891,Zdzisław KRASNODĘBSKI,Substitute,2020-02-20,
Delegation for Relations with South Africa,D-ZA,Delegation,124891,Zdzisław KRASNODĘBSKI,Substitute,2020-02-20,
Committee on Foreign Affairs,AFET,Committee,124891,Zdzisław KRASNODĘBSKI,Substitute,2022-01-20,
Subcommittee on Security and Defence,SEDE,Subcommittee,124891,Zdzisław KRASNODĘBSKI,Substitute,2022-01-20,
Committee on Regional Development,REGI,Committee,1854,Constanze KREHL,Member,2019-07-02,2022-01-19
Delegation for Relations with Belarus,D-BY,Delegation,1854,Constanze KREHL,Member,2019-07-02,2022-10-02
Committee on Regional Development,REGI,Committee,1854,Constanze KREHL,Member,2022-01-20,2022-10-02
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,1854,Constanze KREHL,Substitute,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,1854,Constanze KREHL,Substitute,2019-07-02,2022-10-02
"Delegation to the EU-Kazakhstan, EU-Kyrgyzstan, EU-Uzbekistan and EU-Tajikistan Parliamentary Cooperation Committees and for Relations with Turkmenistan and Mongolia",DCAS,Delegation,1854,Constanze KREHL,Substitute,2020-02-12,2022-03-02
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,1854,Constanze KREHL,Substitute,2022-01-20,2022-10-02
Committee on Regional Development,REGI,Committee,197532,Elżbieta KRUK,Member,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197532,Elżbieta KRUK,Member,2019-07-02,
Committee on Regional Development,REGI,Committee,197532,Elżbieta KRUK,Member,2022-01-20,
Committee on Culture and Education,CULT,Committee,197532,Elżbieta KRUK,Member,2022-09-12,
"Committee on Industry, Research and Energy",ITRE,Committee,197532,Elżbieta KRUK,Substitute,2019-07-02,2022-01-19
Delegation for Relations With the Countries of Southeast Asia and the Association of Southeast Asian Nations,DASE,Delegation,197532,Elżbieta KRUK,Substitute,2019-07-02,
Committee on Culture and Education,CULT,Committee,197532,Elżbieta KRUK,Substitute,2019-07-04,2022-01-19
Committee of Inquiry on the Protection of Animals During Transport,ANIT,Special Committee,197532,Elżbieta KRUK,Substitute,2020-06-19,2021-12-19
Committee on Culture and Education,CULT,Committee,197532,Elżbieta KRUK,Substitute,2022-01-20,2022-09-11
"Committee on Industry, Research and Energy",ITRE,Committee,197532,Elżbieta KRUK,Substitute,2022-01-20,
Committee of Inquiry to Investigate the Use of Pegasus and Equivalent Surveillance Spyware,PEGA,Special Committee,197532,Elżbieta KRUK,Substitute,2022-03-24,2023-02-01
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,197843,Andrius KUBILIUS,Chair,2019-09-26,
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,197843,Andrius KUBILIUS,Member,2019-07-02,2019-09-25
"Committee on Industry, Research and Energy",ITRE,Committee,197843,Andrius KUBILIUS,Member,2019-07-02,2022-01-19
Delegation to the EU-Ukraine Parliamentary Association Committee,D-UA,Delegation,197843,Andrius KUBILIUS,Member,2019-07-02,
Committee on Foreign Affairs,AFET,Committee,197843,Andrius KUBILIUS,Member,2019-07-15,2022-01-19
Conference of Delegation Chairs,CDC,Political Body,197843,Andrius KUBILIUS,Member,2019-09-26,
Committee on Foreign Affairs,AFET,Committee,197843,Andrius KUBILIUS,Member,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,197843,Andrius KUBILIUS,Member,2022-01-20,
Committee on Foreign Affairs,AFET,Committee,197843,Andrius KUBILIUS,Substitute,2019-07-02,2019-07-14
Delegation for Relations with Israel,D-IL,Delegation,197843,Andrius KUBILIUS,Substitute,2019-07-02,
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,197843,Andrius KUBILIUS,Substitute,2020-02-12,
"Special Committee on Foreign Interference in all Democratic Processes in the European Union, including Disinformation",INGE,Special Committee,197843,Andrius KUBILIUS,Substitute,2021-10-28,2021-11-07
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197395,Alice KUHNKE,Member,2019-07-02,2022-01-19
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197395,Alice KUHNKE,Member,2019-07-02,2022-01-19
Delegation to the EU-Türkiye Joint Parliamentary Committee,D-TR,Delegation,197395,Alice KUHNKE,Member,2019-07-02,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197395,Alice KUHNKE,Member,2022-01-20,
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197395,Alice KUHNKE,Member,2022-01-20,
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,197395,Alice KUHNKE,Substitute,2019-07-02,2023-03-15
Delegation for Relations With Iran,D-IR,Delegation,197395,Alice KUHNKE,Substitute,2023-03-16,
"Delegation to the EU-Armenia Parliamentary Partnership Committee, the EU-Azerbaijan Parliamentary Cooperation Committee and the EU-Georgia Parliamentary Association Committee",DSCA,Delegation,197482,Joachim KUHS,Member,2019-07-02,2019-09-17
Committee on Budgets,BUDG,Committee,197482,Joachim KUHS,Member,2019-07-02,2022-01-19
Committee on Budgetary Control,CONT,Committee,197482,Joachim KUHS,Member,2019-07-02,2022-01-19
Committee on Budgets,BUDG,Committee,197482,Joachim KUHS,Member,2022-01-20,
Committee on Budgetary Control,CONT,Committee,197482,Joachim KUHS,Member,2022-01-20,
Committee on Regional Development,REGI,Committee,197482,Joachim KUHS,Member,2022-03-23,2022-05-04
Committee on Regional Development,REGI,Committee,197482,Joachim KUHS,Substitute,2022-05-05,2022-09-08
Delegation for Relations with the United States,D-US,Delegation,124735,Miapetra KUMPULA-NATRI,Vice-Chair,2020-02-13,
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,124735,Miapetra KUMPULA-NATRI,Vice-Chair,2020-09-23,2022-03-23
Delegation for Relations with the United States,D-US,Delegation,124735,Miapetra KUMPULA-NATRI,Member,2019-07-02,2020-02-12
"Committee on Industry, Research and Energy",ITRE,Committee,124735,Miapetra KUMPULA-NATRI,Member,2019-07-02,2022-01-19
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,124735,Miapetra KUMPULA-NATRI,Member,2020-09-14,2020-09-22
"Committee on Industry, Research and Energy",ITRE,Committee,124735,Miapetra KUMPULA-NATRI,Member,2022-01-20,
Committee on Petitions,PETI,Committee,124735,Miapetra KUMPULA-NATRI,Substitute,2019-07-02,2019-09-05
Committee on Constitutional Affairs,AFCO,Committee,124735,Miapetra KUMPULA-NATRI,Substitute,2019-07-02,2022-01-19
Delegation for Relations with Japan,D-JP,Delegation,124735,Miapetra KUMPULA-NATRI,Substitute,2019-07-02,
Committee on International Trade,INTA,Committee,124735,Miapetra KUMPULA-NATRI,Substitute,2019-07-09,2022-01-19
Committee on International Trade,INTA,Committee,124735,Miapetra KUMPULA-NATRI,Substitute,2022-01-20,
Committee on Constitutional Affairs,AFCO,Committee,124735,Miapetra KUMPULA-NATRI,Substitute,2022-01-20,
Committee on Budgets,BUDG,Committee,28389,Zbigniew KUŹMIUK,Member,2019-07-02,2022-01-19
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,28389,Zbigniew KUŹMIUK,Member,2019-07-02,
Committee on Budgets,BUDG,Committee,28389,Zbigniew KUŹMIUK,Member,2022-01-20,
Committee on Agriculture and Rural Development,AGRI,Committee,28389,Zbigniew KUŹMIUK,Substitute,2019-07-02,2022-01-19
Delegation to the EU-Ukraine Parliamentary Association Committee,D-UA,Delegation,28389,Zbigniew KUŹMIUK,Substitute,2019-07-02,
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,28389,Zbigniew KUŹMIUK,Substitute,2019-07-02,
Committee on Agriculture and Rural Development,AGRI,Committee,28389,Zbigniew KUŹMIUK,Substitute,2022-01-20,
Committee on Employment and Social Affairs,EMPL,Committee,197692,Stelios KYMPOUROPOULOS,Member,2019-07-02,2022-01-19
Delegation for Relations with the Mashreq countries,DMAS,Delegation,197692,Stelios KYMPOUROPOULOS,Member,2019-07-02,
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,197692,Stelios KYMPOUROPOULOS,Member,2019-07-02,
Committee on Petitions,PETI,Committee,197692,Stelios KYMPOUROPOULOS,Member,2020-07-08,2022-01-19
Committee on Employment and Social Affairs,EMPL,Committee,197692,Stelios KYMPOUROPOULOS,Member,2022-01-20,
Committee on Petitions,PETI,Committee,197692,Stelios KYMPOUROPOULOS,Member,2022-01-20,
Special Committee on the COVID-19 Pandemic Lessons Learned and Recommendations for the Future,COVI,Special Committee,197692,Stelios KYMPOUROPOULOS,Member,2022-03-24,2023-07-18
Subcommittee on Public Health,SANT,Subcommittee,197692,Stelios KYMPOUROPOULOS,Member,2023-03-15,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197692,Stelios KYMPOUROPOULOS,Substitute,2019-07-02,2019-07-10
Subcommittee on Human Rights,DROI,Subcommittee,197692,Stelios KYMPOUROPOULOS,Substitute,2019-07-17,2022-01-19
Committee on Regional Development,REGI,Committee,197692,Stelios KYMPOUROPOULOS,Substitute,2019-08-20,2022-01-19
Delegation for Relations with India,D-IN,Delegation,197692,Stelios KYMPOUROPOULOS,Substitute,2020-06-16,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197692,Stelios KYMPOUROPOULOS,Substitute,2021-03-24,2021-07-07
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197692,Stelios KYMPOUROPOULOS,Substitute,2021-12-15,2022-01-19
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197692,Stelios KYMPOUROPOULOS,Substitute,2022-01-20,
Committee on Regional Development,REGI,Committee,197692,Stelios KYMPOUROPOULOS,Substitute,2022-01-20,
Subcommittee on Human Rights,DROI,Subcommittee,197692,Stelios KYMPOUROPOULOS,Substitute,2022-01-20,
Committee on Economic and Monetary Affairs,ECON,Committee,125063,Georgios KYRTSOS,Member,2019-07-02,2022-01-19
Delegation for Relations with the Arab Peninsula,DARP,Delegation,125063,Georgios KYRTSOS,Member,2019-07-02,2022-05-04
Committee on Economic and Monetary Affairs,ECON,Committee,125063,Georgios KYRTSOS,Member,2022-01-20,2022-05-04
Committee on Economic and Monetary Affairs,ECON,Committee,125063,Georgios KYRTSOS,Member,2022-07-06,
Committee on Budgets,BUDG,Committee,125063,Georgios KYRTSOS,Substitute,2019-07-02,2022-01-19
Subcommittee on Security and Defence,SEDE,Subcommittee,125063,Georgios KYRTSOS,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the NATO Parliamentary Assembly,DNAT,Delegation,125063,Georgios KYRTSOS,Substitute,2019-07-02,2022-05-04
Committee on Foreign Affairs,AFET,Committee,125063,Georgios KYRTSOS,Substitute,2021-03-24,2021-10-25
Delegation to the EU-UK Parliamentary Partnership Assembly,D-UK,Delegation,125063,Georgios KYRTSOS,Substitute,2021-10-18,2022-05-04
"Special Committee on Foreign Interference in all Democratic Processes in the European Union, including Disinformation",INGE,Special Committee,125063,Georgios KYRTSOS,Substitute,2021-10-28,2021-11-07
Committee on Budgets,BUDG,Committee,125063,Georgios KYRTSOS,Substitute,2022-01-20,2022-05-04
Subcommittee on Security and Defence,SEDE,Subcommittee,125063,Georgios KYRTSOS,Substitute,2022-01-20,2022-05-04
Committee on Economic and Monetary Affairs,ECON,Committee,125063,Georgios KYRTSOS,Substitute,2022-05-05,2022-07-05
Committee on Foreign Affairs,AFET,Committee,125063,Georgios KYRTSOS,Substitute,2022-05-05,
Delegation to the EU-UK Parliamentary Partnership Assembly,D-UK,Delegation,125063,Georgios KYRTSOS,Substitute,2022-05-05,
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,125063,Georgios KYRTSOS,Substitute,2022-05-05,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,125063,Georgios KYRTSOS,Substitute,2022-05-05,
"Special Committee on Foreign Interference in All Democratic Processes in the European Union, Including Disinformation, and the Strengthening of Integrity, Transparency and Accountability in the European Parliament",ING2,Special Committee,125063,Georgios KYRTSOS,Substitute,2022-09-07,2022-09-28
Delegation to the EU-Türkiye Joint Parliamentary Committee,D-TR,Delegation,124866,Ilhan KYUCHYUK,Vice-Chair,2019-09-26,
Delegation to the EU-Türkiye Joint Parliamentary Committee,D-TR,Delegation,124866,Ilhan KYUCHYUK,Member,2019-07-02,2019-09-25
Committee on Foreign Affairs,AFET,Committee,124866,Ilhan KYUCHYUK,Member,2019-07-02,2022-01-19
Committee on Foreign Affairs,AFET,Committee,124866,Ilhan KYUCHYUK,Member,2022-01-20,
Committee on Transport and Tourism,TRAN,Committee,124866,Ilhan KYUCHYUK,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the Arab Peninsula,DARP,Delegation,124866,Ilhan KYUCHYUK,Substitute,2019-07-02,
Committee on Legal Affairs,JURI,Committee,124866,Ilhan KYUCHYUK,Substitute,2020-03-10,2022-01-19
Committee on Transport and Tourism,TRAN,Committee,124866,Ilhan KYUCHYUK,Substitute,2022-01-20,
Committee on Legal Affairs,JURI,Committee,124866,Ilhan KYUCHYUK,Substitute,2022-01-20,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,204421,Jean-Lin LACAPELLE,Member,2020-02-10,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,204421,Jean-Lin LACAPELLE,Member,2020-02-12,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,204421,Jean-Lin LACAPELLE,Member,2022-01-20,
Committee on Foreign Affairs,AFET,Committee,204421,Jean-Lin LACAPELLE,Member,2022-03-01,
Delegation to the EU-Serbia Stabilisation and Association Parliamentary Committee,D-RS,Delegation,204421,Jean-Lin LACAPELLE,Member,2022-07-04,
Subcommittee on Security and Defence,SEDE,Subcommittee,204421,Jean-Lin LACAPELLE,Member,2022-11-21,
Committee on International Trade,INTA,Committee,204421,Jean-Lin LACAPELLE,Substitute,2020-02-10,2022-01-19
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,204421,Jean-Lin LACAPELLE,Substitute,2020-02-12,
Delegation for Relations With Iran,D-IR,Delegation,204421,Jean-Lin LACAPELLE,Substitute,2020-02-12,
Committee on International Trade,INTA,Committee,204421,Jean-Lin LACAPELLE,Substitute,2022-01-20,
Delegation to the EU-Türkiye Joint Parliamentary Committee,D-TR,Delegation,197460,Sergey LAGODINSKY,Chair,2019-09-26,
Committee on Legal Affairs,JURI,Committee,197460,Sergey LAGODINSKY,Vice-Chair,2019-07-10,2022-01-19
Committee on Legal Affairs,JURI,Committee,197460,Sergey LAGODINSKY,Vice-Chair,2022-01-20,
Committee on Legal Affairs,JURI,Committee,197460,Sergey LAGODINSKY,Member,2019-07-02,2019-07-09
Delegation to the EU-Türkiye Joint Parliamentary Committee,D-TR,Delegation,197460,Sergey LAGODINSKY,Member,2019-07-02,2019-09-25
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,197460,Sergey LAGODINSKY,Member,2019-07-02,
Conference of Delegation Chairs,CDC,Political Body,197460,Sergey LAGODINSKY,Member,2019-09-26,
Committee on Foreign Affairs,AFET,Committee,197460,Sergey LAGODINSKY,Substitute,2019-07-02,2022-01-19
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197460,Sergey LAGODINSKY,Substitute,2019-07-02,2022-01-19
"Delegation to the EU-Armenia Parliamentary Partnership Committee, the EU-Azerbaijan Parliamentary Cooperation Committee and the EU-Georgia Parliamentary Association Committee",DSCA,Delegation,197460,Sergey LAGODINSKY,Substitute,2019-07-02,
Delegation for Relations with the United States,D-US,Delegation,197460,Sergey LAGODINSKY,Substitute,2019-07-02,
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,197460,Sergey LAGODINSKY,Substitute,2020-09-14,2022-03-23
Committee on Foreign Affairs,AFET,Committee,197460,Sergey LAGODINSKY,Substitute,2022-01-20,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197460,Sergey LAGODINSKY,Substitute,2022-01-20,
Committee on Budgets,BUDG,Committee,197737,Ioannis LAGOS,Member,2019-07-02,2021-09-15
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,197737,Ioannis LAGOS,Member,2019-07-02,
Committee on Economic and Monetary Affairs,ECON,Committee,197737,Ioannis LAGOS,Member,2022-01-20,
Committee on Employment and Social Affairs,EMPL,Committee,197737,Ioannis LAGOS,Substitute,2019-07-02,2020-02-09
Committee on Fisheries,PECH,Committee,197737,Ioannis LAGOS,Substitute,2020-02-10,2020-12-09
"Committee on Industry, Research and Energy",ITRE,Committee,197737,Ioannis LAGOS,Substitute,2020-02-10,2022-01-19
Committee on Foreign Affairs,AFET,Committee,197737,Ioannis LAGOS,Substitute,2021-09-16,2022-01-19
Committee on Economic and Monetary Affairs,ECON,Committee,197697,Aurore LALUCQ,Member,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,197697,Aurore LALUCQ,Member,2019-07-02,
Subcommittee on Tax Matters,FISC,Subcommittee,197697,Aurore LALUCQ,Member,2020-09-14,2022-01-19
Committee on Economic and Monetary Affairs,ECON,Committee,197697,Aurore LALUCQ,Member,2022-01-20,
Subcommittee on Tax Matters,FISC,Subcommittee,197697,Aurore LALUCQ,Member,2022-01-20,
Committee on International Trade,INTA,Committee,197697,Aurore LALUCQ,Substitute,2019-07-09,2021-02-14
Committee on Employment and Social Affairs,EMPL,Committee,197697,Aurore LALUCQ,Substitute,2021-02-15,2022-01-19
Committee on Employment and Social Affairs,EMPL,Committee,197697,Aurore LALUCQ,Substitute,2022-01-20,
Committee on Economic and Monetary Affairs,ECON,Committee,96648,Philippe LAMBERTS,Member,2019-07-02,2022-01-19
Conference of Presidents,COP,Political Body,96648,Philippe LAMBERTS,Member,2019-07-02,
Committee on Economic and Monetary Affairs,ECON,Committee,96648,Philippe LAMBERTS,Member,2022-01-20,
Committee on International Trade,INTA,Committee,192635,Danilo Oscar LANCINI,Member,2019-07-02,2022-01-19
Delegation for Relations with Mercosur,DMER,Delegation,192635,Danilo Oscar LANCINI,Member,2019-07-02,
Committee on International Trade,INTA,Committee,192635,Danilo Oscar LANCINI,Member,2022-01-20,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,192635,Danilo Oscar LANCINI,Substitute,2019-07-02,2022-01-19
Delegation for Relations With the Countries of Southeast Asia and the Association of Southeast Asian Nations,DASE,Delegation,192635,Danilo Oscar LANCINI,Substitute,2019-07-02,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,192635,Danilo Oscar LANCINI,Substitute,2022-01-20,
Committee on International Trade,INTA,Committee,1909,Bernd LANGE,Chair,2019-07-10,2022-01-19
Committee on International Trade,INTA,Committee,1909,Bernd LANGE,Chair,2022-01-20,
Conference of Committee Chairs,CCC,Political Body,1909,Bernd LANGE,Chair,2022-02-15,
Committee on International Trade,INTA,Committee,1909,Bernd LANGE,Member,2019-07-02,2019-07-09
Delegation for Relations With the Countries of Southeast Asia and the Association of Southeast Asian Nations,DASE,Delegation,1909,Bernd LANGE,Member,2019-07-02,
Conference of Committee Chairs,CCC,Political Body,1909,Bernd LANGE,Member,2019-07-10,2022-02-14
"Committee on Industry, Research and Energy",ITRE,Committee,1909,Bernd LANGE,Substitute,2019-07-02,2022-01-19
Delegation for Relations with Japan,D-JP,Delegation,1909,Bernd LANGE,Substitute,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,1909,Bernd LANGE,Substitute,2022-01-20,2022-03-07
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,38398,Esther de LANGE,Member,2019-07-02,2022-01-19
Delegation for Relations with the People's Republic of China,D-CN,Delegation,38398,Esther de LANGE,Member,2019-07-02,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,38398,Esther de LANGE,Member,2022-01-20,
Special Committee on the COVID-19 Pandemic Lessons Learned and Recommendations for the Future,COVI,Special Committee,38398,Esther de LANGE,Member,2022-03-24,2023-07-18
Committee on Economic and Monetary Affairs,ECON,Committee,38398,Esther de LANGE,Substitute,2019-07-02,2022-01-19
"Delegation to the EU-Kazakhstan, EU-Kyrgyzstan, EU-Uzbekistan and EU-Tajikistan Parliamentary Cooperation Committees and for Relations with Turkmenistan and Mongolia",DCAS,Delegation,38398,Esther de LANGE,Substitute,2019-07-02,
Delegation for Relations With the Korean Peninsula,DKOR,Delegation,38398,Esther de LANGE,Substitute,2020-02-12,
Committee on Economic and Monetary Affairs,ECON,Committee,38398,Esther de LANGE,Substitute,2022-01-20,
Committee on Employment and Social Affairs,EMPL,Committee,197461,Katrin LANGENSIEPEN,Vice-Chair,2019-07-18,2022-01-19
Committee on Employment and Social Affairs,EMPL,Committee,197461,Katrin LANGENSIEPEN,Vice-Chair,2022-01-20,
Committee on Employment and Social Affairs,EMPL,Committee,197461,Katrin LANGENSIEPEN,Member,2019-07-02,2019-07-17
Delegation for Relations with the Mashreq countries,DMAS,Delegation,197461,Katrin LANGENSIEPEN,Member,2019-07-02,
Special Committee on the COVID-19 Pandemic Lessons Learned and Recommendations for the Future,COVI,Special Committee,197461,Katrin LANGENSIEPEN,Member,2022-03-24,2023-07-18
Delegation for Relations with Israel,D-IL,Delegation,197461,Katrin LANGENSIEPEN,Substitute,2019-07-02,2021-05-20
Committee on Foreign Affairs,AFET,Committee,197461,Katrin LANGENSIEPEN,Substitute,2019-07-02,2022-01-19
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197461,Katrin LANGENSIEPEN,Substitute,2020-12-17,2022-01-19
Committee on Foreign Affairs,AFET,Committee,197461,Katrin LANGENSIEPEN,Substitute,2022-01-20,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197461,Katrin LANGENSIEPEN,Substitute,2022-01-20,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,197597,Hélène LAPORTE,Member,2019-07-02,2019-09-15
Committee on Budgets,BUDG,Committee,197597,Hélène LAPORTE,Member,2019-07-02,2022-01-19
Delegation for Relations with the Countries of South Asia,DSAS,Delegation,197597,Hélène LAPORTE,Member,2019-09-16,2019-10-08
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,197597,Hélène LAPORTE,Member,2019-10-09,2022-07-28
Subcommittee on Tax Matters,FISC,Subcommittee,197597,Hélène LAPORTE,Member,2020-09-14,2022-01-19
"Committee on Industry, Research and Energy",ITRE,Committee,197597,Hélène LAPORTE,Member,2022-01-20,2022-02-28
Subcommittee on Tax Matters,FISC,Subcommittee,197597,Hélène LAPORTE,Member,2022-01-20,2022-03-22
Committee on Budgets,BUDG,Committee,197597,Hélène LAPORTE,Member,2022-01-20,2022-07-28
Committee on Agriculture and Rural Development,AGRI,Committee,197597,Hélène LAPORTE,Member,2022-02-14,2022-03-06
Committee on Foreign Affairs,AFET,Committee,197597,Hélène LAPORTE,Member,2022-02-17,2022-02-28
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197597,Hélène LAPORTE,Member,2022-02-17,2022-07-28
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197597,Hélène LAPORTE,Member,2022-02-17,2022-07-28
Committee on Economic and Monetary Affairs,ECON,Committee,197597,Hélène LAPORTE,Substitute,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197597,Hélène LAPORTE,Substitute,2019-07-02,2022-02-16
Delegation for Relations With the Countries of Southeast Asia and the Association of Southeast Asian Nations,DASE,Delegation,197597,Hélène LAPORTE,Substitute,2019-07-02,2022-07-28
Delegation to the EU-Mexico Joint Parliamentary Committee,D-MX,Delegation,197597,Hélène LAPORTE,Substitute,2019-07-29,2022-07-28
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,197597,Hélène LAPORTE,Substitute,2019-09-16,2019-10-08
Committee on Legal Affairs,JURI,Committee,197597,Hélène LAPORTE,Substitute,2020-03-03,2021-02-11
Special Committee on Beating Cancer,BECA,Special Committee,197597,Hélène LAPORTE,Substitute,2020-09-14,2022-03-23
Delegation to the EU-UK Parliamentary Partnership Assembly,D-UK,Delegation,197597,Hélène LAPORTE,Substitute,2021-10-18,2022-07-28
Committee on Economic and Monetary Affairs,ECON,Committee,197597,Hélène LAPORTE,Substitute,2022-01-20,2022-03-20
Committee on Budgets,BUDG,Committee,197698,Pierre LARROUTUROU,Member,2019-07-02,2022-01-19
Delegation for Relations with Israel,D-IL,Delegation,197698,Pierre LARROUTUROU,Member,2019-07-02,
Delegation for Relations with Palestine,DPAL,Delegation,197698,Pierre LARROUTUROU,Member,2019-07-02,
Committee on Budgets,BUDG,Committee,197698,Pierre LARROUTUROU,Member,2022-01-20,
Committee on Employment and Social Affairs,EMPL,Committee,197698,Pierre LARROUTUROU,Substitute,2019-07-02,2022-01-19
Committee on Employment and Social Affairs,EMPL,Committee,197698,Pierre LARROUTUROU,Substitute,2022-01-20,
Committee on Budgets,BUDG,Committee,230085,Camilla LAURETI,Member,2022-02-14,
Committee on Agriculture and Rural Development,AGRI,Committee,230085,Camilla LAURETI,Member,2022-02-14,
Delegation for Relations with Canada,D-CA,Delegation,230085,Camilla LAURETI,Member,2022-06-22,
Committee on Regional Development,REGI,Committee,230085,Camilla LAURETI,Substitute,2022-02-10,
Delegation to the EU-Moldova Parliamentary Association Committee,D-MD,Delegation,230085,Camilla LAURETI,Substitute,2022-07-05,
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,230085,Camilla LAURETI,Substitute,2022-07-05,
Committee on Agriculture and Rural Development,AGRI,Committee,124738,Gilles LEBRETON,Member,2019-07-02,2022-01-19
Committee on Legal Affairs,JURI,Committee,124738,Gilles LEBRETON,Member,2019-07-02,2022-01-19
"Delegation for Relations with the Maghreb countries and the Arab Maghreb Union, including the EU-Morocco, EU-Tunisia and EU-Algeria Joint Parliamentary Committees",DMAG,Delegation,124738,Gilles LEBRETON,Member,2019-07-02,
Committee on Agriculture and Rural Development,AGRI,Committee,124738,Gilles LEBRETON,Member,2022-01-20,
Committee on Legal Affairs,JURI,Committee,124738,Gilles LEBRETON,Member,2022-01-20,
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,124738,Gilles LEBRETON,Member,2022-02-17,
Committee of Inquiry to Investigate the Use of Pegasus and Equivalent Surveillance Spyware,PEGA,Special Committee,124738,Gilles LEBRETON,Member,2022-03-24,2023-07-18
Committee on Constitutional Affairs,AFCO,Committee,124738,Gilles LEBRETON,Substitute,2019-07-02,2022-01-19
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,124738,Gilles LEBRETON,Substitute,2019-07-29,2022-02-16
"Special Committee on Foreign Interference in all Democratic Processes in the European Union, including Disinformation",INGE,Special Committee,124738,Gilles LEBRETON,Substitute,2020-09-14,2022-03-23
